timestamp,host,severity,message
2025-11-30T09:59:01Z,web01,low,Nginx worker process started successfully
2025-11-30T10:00:12Z,web01,medium,Successful login for user alice from 192.168.10.21
2025-11-30T10:00:55Z,web01,high,Failed login for user admin from 192.168.10.50
2025-11-30T10:01:03Z,web01,high,Failed login for user admin from 192.168.10.50
2025-11-30T10:01:10Z,web01,high,Failed login for user admin from 192.168.10.50
2025-11-30T10:01:22Z,web01,medium,Account lockout threshold exceeded for user admin from 192.168.10.50
2025-11-30T10:02:01Z,web01,medium,Successful login for user bob from 192.168.10.22
2025-11-30T10:02:35Z,web02,low,HTTP 200 response for /index.php from 203.0.113.5
2025-11-30T10:02:39Z,web02,low,HTTP 404 response for /phpmyadmin/ from 203.0.113.5
2025-11-30T10:02:44Z,web02,medium,Repeated 404s for /wp-login.php from 203.0.113.5
2025-11-30T10:03:01Z,fw01,low,Allowed outbound connection from 192.168.10.21:50932 to 8.8.8.8:53
2025-11-30T10:03:05Z,fw01,low,Allowed outbound connection from 192.168.10.22:50933 to 8.8.4.4:53
2025-11-30T10:03:10Z,fw01,medium,Blocked inbound connection from 203.0.113.5:59500 to 192.168.10.10:22 (policy: deny-external-ssh)
2025-11-30T10:03:20Z,fw01,medium,Port scan detected from 203.0.113.5 targeting 192.168.10.10 TCP ports 22-1024
2025-11-30T10:03:31Z,siem01,medium,Correlation rule triggered: External port scan against web segment from 203.0.113.5
2025-11-30T10:03:45Z,db01,low,MySQL connection from web01 (192.168.10.10) user=app_readonly
2025-11-30T10:03:52Z,db01,medium,Failed login for user root from 192.168.10.10
2025-11-30T10:03:57Z,db01,medium,Failed login for user root from 192.168.10.10
2025-11-30T10:04:02Z,db01,high,Multiple authentication failure for user root from 192.168.10.10
2025-11-30T10:04:10Z,web01,low,PHP notice: Undefined index in /var/www/app/login.php
2025-11-30T10:04:20Z,web01,high,Failed login for user admin from 192.168.10.51
2025-11-30T10:04:26Z,web01,high,Failed login for user admin from 192.168.10.51
2025-11-30T10:04:32Z,web01,high,Failed login for user admin from 192.168.10.51
2025-11-30T10:04:40Z,web01,medium,Account lockout threshold exceeded for user admin from 192.168.10.51
2025-11-30T10:04:55Z,win10-client01,low,User alice logged on interactively
2025-11-30T10:05:02Z,win10-client01,medium,User alice started process chrome.exe
2025-11-30T10:05:15Z,win10-client01,high,Suspicious PowerShell command detected: powershell.exe -nop -w hidden -enc <redacted>
2025-11-30T10:05:18Z,edr01,high,Endpoint alert: Potential malicious PowerShell on host win10-client01 (rule: PS-EncodedCommand)
2025-11-30T10:05:25Z,siem01,high,Correlation rule triggered: Suspicious PowerShell plus outbound connections from win10-client01
2025-11-30T10:05:30Z,fw01,medium,Allowed outbound connection from 192.168.10.101:51300 to 198.51.100.10:443
2025-11-30T10:05:34Z,fw01,medium,Allowed outbound connection from 192.168.10.101:51301 to 198.51.100.10:443
2025-11-30T10:05:40Z,fw01,median,Unusual outbound connection pattern from 192.168.10.101 to 198.51.100.10:443
2025-11-30T10:05:48Z,edr01,high,Endpoint alert: Possible C2 traffic from win10-client01 to 198.51.100.10
2025-11-30T10:06:01Z,web02,low,HTTP 200 response for /login from 192.168.10.25
